,name,number_reviews,rating,address,city
75,Taktika Berri,794,4.0,Carrer Valencia 169 Barcelona,Barcelona
76,N.A.P. Neapolitan Authentic Pizza,1489,4.0,Avinguda Francesc Cambó 30 y Carrer Baluard Barcelona,Barcelona
77,L’ Amfora Barcelona,1941,4.5,Avenida del Parallel 184 Barcelona,Barcelona
78,Cecconi's Barcelona,619,4.5,Passeig de Colom  Barcelona,Barcelona
79,Colom,7613,4.5,Escudellers 33 Barcelona,Barcelona
80,Bar del Pla,1656,4.0,Carrer Montcada num  2 Barcelona,Barcelona
81,Maitea Taberna,1302,4.5,Carrer  Casanova 155 Barcelona,Barcelona
82,La Cova Fumada,1395,4.5,Carrer  Baluard 56 Barcelona,Barcelona
83,Restaurante Arume,5202,4.5,Carrer  Botella 11 13 Barcelona,Barcelona
84,Koy Shunka,1444,4.5,Carrer de Copons 7 Barcelona,Barcelona
85,Teòric Taverna Gastronòmica,994,5.0,Carrer de Bailen 117 Barcelona,Barcelona
86,Yakumanka,426,4.5,Carrer  Valencia 207  Barcelona,Barcelona
87,Sports Bar Italian Food - C. Ample,1022,4.5,Carrer Ample 51 Barcelona,Barcelona
88,Torre d'Alta Mar,1433,4.0,Passeig Joan de Borbo 88  Barcelona,Barcelona
89,Swagatam Bar-Restaurant Hindu,1007,4.5,Carrer de Sant Agusti 10 Barcelona,Barcelona
90,Parco,737,4.0,Jardines de Gracia   Al Final de la Passeig de Gracia  Barcelona,Barcelona
91,Arcano,3589,4.5,Carrer dels Mercaders 10 Barcelona,Barcelona
92,Mirablau,1180,4.0,Plaza Doctor Andreu S N  Barcelona,Barcelona
93,Botafumeiro,4473,4.0,Carrer Gran de Gràcia 81 Barcelona,Barcelona
94,La Fonda,6520,4.0,Carrer dels Escudellers 10 Barcelona,Barcelona
95,Eixampeling Brunch Café & Bar,1074,5.0,Diputacion 158  Barcelona,Barcelona
96,La Bella Napoli di Raffaele,1155,4.0,Carrer de Margarit 12 14 Barcelona,Barcelona
97,Gilda by Belgious,1410,4.5,Carrer  Ample 34 Barcelona,Barcelona
