,name,number_reviews,rating,address,city,lat,long
58,El Jardinet D'Aribau,767,4.5,Carrer De Aribau 133 Barcelona,Barcelona,41.5377817,2.4321243
59,Pepito Restaurante,1427,4.5,Pasaje Domingo 3  Barcelona,Barcelona,,
60,Tlaxcal,909,4.5,Comercio 27  Barcelona,Barcelona,41.3951756,2.1499585
61,Bacoa,2676,4.5,Marques de L Argentera 1 Bis Barcelona,Barcelona,41.3845142,2.1847391
62,Vivo Tapas,2263,4.5,Carrer del Rosselló 255  Barcelona,Barcelona,41.3964573,2.1613285
63,El Vaso de Oro,1398,4.5,Balboa 6 Barcelona,Barcelona,33.6154476,-117.9228363
64,Bacoa,1762,4.5,Ronda Universidad 31  Barcelona,Barcelona,,
65,Argentinísimo,636,4.5,Carrer  Casanova 70  Barcelona,Barcelona,41.3853997,2.158972
66,Bar Xapako,901,5.0,Consell de Cent 411  Barcelona,Barcelona,41.3915392,2.1655104
67,Bodega Biarritz 1881,4530,4.5,Carrer Vidre 8 Barcelona,Barcelona,41.37979,2.1761266
68,Gusto,1729,4.5,Carrer  de Rossello 108 Barcelona,Barcelona,41.4968184,2.3611674
69,Vai Moana,1685,4.5,Avenida Litoral S N  Barcelona,Barcelona,,
70,Rosa Negra Barcelona,1588,4.0,Via Laietana 46  Barcelona,Barcelona,41.3865347,2.1755771
71,La Pastisseria Barcelona,810,4.5,Carrer aragò 228  Barcelona,Barcelona,41.5239718,2.2380047
72,Pizzeria Da Nanni Barcelona,1951,5.0,Carrer  Llibreteria 10  Barcelona,Barcelona,41.3831626,2.1773855
73,Bodega Biarritz,4583,5.0,Nou de San Francesc 7  Barcelona,Barcelona,,
74,Bodega Vasconia,1494,4.5,Gignas 13  Barcelona,Barcelona,41.3810082,2.1798816
75,Taktika Berri,794,4.0,Carrer Valencia 169 Barcelona,Barcelona,41.6051452,2.3006586
76,N.A.P. Neapolitan Authentic Pizza,1489,4.0,Avinguda Francesc Cambó 30 y Carrer Baluard Barcelona,Barcelona,,
77,L’ Amfora Barcelona,1941,4.5,Avenida del Parallel 184 Barcelona,Barcelona,,
78,Cecconi's Barcelona,619,4.5,Passeig de Colom  Barcelona,Barcelona,41.3790228,2.1801967
79,Colom,7613,4.5,Escudellers 33 Barcelona,Barcelona,41.379825,2.1764897
80,Bar del Pla,1656,4.0,Carrer Montcada num  2 Barcelona,Barcelona,,
81,Maitea Taberna,1302,4.5,Carrer  Casanova 155 Barcelona,Barcelona,41.3910406,2.1510887
82,La Cova Fumada,1395,4.5,Carrer  Baluard 56 Barcelona,Barcelona,41.3792983,2.1891943
83,Restaurante Arume,5202,4.5,Carrer  Botella 11 13 Barcelona,Barcelona,41.3794227,2.1659166
84,Koy Shunka,1444,4.5,Carrer de Copons 7 Barcelona,Barcelona,41.5886494,1.6080706
85,Teòric Taverna Gastronòmica,994,5.0,Carrer de Bailen 117 Barcelona,Barcelona,41.3977846,2.1692651
86,Yakumanka,426,4.5,Carrer  Valencia 207  Barcelona,Barcelona,41.6051452,2.3006586
87,Sports Bar Italian Food - C. Ample,1022,4.5,Carrer Ample 51 Barcelona,Barcelona,41.3812687,2.1804979
88,Torre d'Alta Mar,1433,4.0,Passeig Joan de Borbo 88  Barcelona,Barcelona,41.3731453,2.1879727
89,Swagatam Bar-Restaurant Hindu,1007,4.5,Carrer de Sant Agusti 10 Barcelona,Barcelona,41.3982888,2.1607353
90,Parco,737,4.0,Jardines de Gracia   Al Final de la Passeig de Gracia  Barcelona,Barcelona,,
91,Arcano,3589,4.5,Carrer dels Mercaders 10 Barcelona,Barcelona,41.2267429,1.7262841
92,Mirablau,1180,4.0,Plaza Doctor Andreu S N  Barcelona,Barcelona,,
93,Botafumeiro,4473,4.0,Carrer Gran de Gràcia 81 Barcelona,Barcelona,41.4004038,2.1546391
94,La Fonda,6520,4.0,Carrer dels Escudellers 10 Barcelona,Barcelona,41.3793598,2.1762144
95,Eixampeling Brunch Café & Bar,1074,5.0,Diputacion 158  Barcelona,Barcelona,38.3551857,-0.4771781
96,La Bella Napoli di Raffaele,1155,4.0,Carrer de Margarit 12 14 Barcelona,Barcelona,41.3722309,2.163058
97,Gilda by Belgious,1410,4.5,Carrer  Ample 34 Barcelona,Barcelona,41.573106,2.0189932
98,Don Kilo Gourmet,389,5.0,Carrer Corsega 398  Barcelona,Barcelona,41.3998866,2.1641321
99,Oporto Restaurante,901,4.5,Carrer Sardenya 296 Barcelona,Barcelona,41.5298238,2.0708297
100,König Barcelona Centro,957,4.0,Rambla de Catalunya 5 Barcelona,Barcelona,41.38775758888889,2.1676605555555555
101,bicos,483,4.5,Avenida Diagonal 287  Barcelona,Barcelona,41.39039064210526,2.1368673
102,Ristorante Margherita,2439,4.5,Carrer del Rosselló 253 Barcelona,Barcelona,41.3952571,2.159525
103,Can Xurrades Gastronomic,551,4.5,Casanova 212 Barcelona,Barcelona,41.3921437,2.150446741976293
104,Ikibana Sarriá,999,4.0,Carrer  Doctor Fleming 11 Barcelona,Barcelona,41.4125177,1.972078826436372
105,El Quim de la Boqueria,1593,4.5,Rambles 91  Barcelona,Barcelona,41.3819517,2.1721675
106,Restaurant Montiel,2531,4.5,Carrer  Flassaders 19  Barcelona,Barcelona,41.3856261,2.1818153
107,Restaurante Lasarte,1093,4.5,Carrer  Mallorca 259 Barcelona,Barcelona,41.4936096,2.1863173
108,Giorgio Barcelona,745,4.5,Carrer  Ausias Marc 3 Barcelona,Barcelona,41.9187655,2.2578549
109,Copasetic Barcelona,890,4.5,Diputacio 55 Barcelona,Barcelona,41.380320850000004,2.153240139200538
110,Boca Grande,2231,4.0,Passatge de la Concepcio 12  Barcelona,Barcelona,41.3945688,2.15986304344141
111,Restaurant Etapes,1226,4.5,Enric Granados 10 Barcelona,Barcelona,41.6521314,2.7431851
112,Telefèric,1397,4.5,Plaza Doctor Letamendi 27 Barcelona,Barcelona,,
113,Makamaka,2124,4.5,Passeig de Joan de Borbo 76 Barcelona,Barcelona,41.3689054,2.1879058
114,Can Dendê,963,4.5,Carrer Ciutat de Granada 44 Barcelona,Barcelona,41.4040457,2.1907711
115,Bo Kaap,799,4.5,Paseo Maritimo s n Playa de Sant Miquel Barcelona,Barcelona,,
116,Mako,299,4.5,Consell de Cent 255  Barcelona,Barcelona,41.3754015,2.143262
117,Asador de Aranda Tibidabo,1719,4.0,Av  del Tibidabo 31  Barcelona,Barcelona,41.41329675,2.134334758650975
118,Terrazza Ravello,828,4.5,Plaza Pau Vila 1 Barcelona,Barcelona,,
119,El Dorado Chicken,652,4.5,Carrer De Balmes 122 Barcelona,Barcelona,41.392842,2.158265
120,Tandoori Nights,948,4.5,Carrer Carretes 44  Barcelona,Barcelona,41.3774375,2.1674209
121,The Benedict,1507,4.5,Carrer D en Gignas 23  Barcelona,Barcelona,41.3814227,2.1801648
122,Recasens,1149,4.0,Rambla del Poblenou 102  Barcelona,Barcelona,41.4023937,2.1997596
123,Taller de Tapas - Rambla Catalunya,4024,4.0,Rambla Catalunya 49  Barcelona,Barcelona,42.0182508,2.2428768
124,Chen Ji,675,4.0,Ali Bei 65  Barcelona,Barcelona,41.3936143,2.1807074
125,Pura Brasa Arenas,2757,4.0,Gran Via de les Corts Catalanes 373 385  Barcelona,Barcelona,41.376315649999995,2.1493205999999994
126,La Alcoba Azul,1330,4.5,Carrer de Salomó ben Adret  Barcelona,Barcelona,41.3826033,2.1758837
127,Foc i Oli,993,4.5,Carrer Aribau 91 Barcelona,Barcelona,41.3898043,2.1571237
128,O' Retorno Restaurant,909,4.0,Comte D urgell 168 Barcelona,Barcelona,41.3883161,2.1502389
129,Mayura,1172,4.0,Carrer Girona 57 Barcelona,Barcelona,41.6538749,2.4443005
130,Mont Bar,1057,4.5,Diputacio 220  Barcelona,Barcelona,41.38605325,2.161817350076298
131,Sushifresh,483,4.5,Via augusta 65 local 1  Barcelona,Barcelona,,
132,Pulpería Can Lampazas,870,4.0,Avinguda del Paral lel 159 Barcelona,Barcelona,41.37469055492958,2.1566902253521127
133,murivecchi,987,4.0,Carrer  princesa 59  Barcelona,Barcelona,42.0577009,2.2615986
134,Irati Taverna Basca,1940,4.5,Carrer del Cardenal Casañas 17 Barcelona,Barcelona,41.3820403,2.1734219
135,Tapa Tapa,3783,3.0,Passeig de Gracia  Barcelona,Barcelona,41.3899486,2.1679219
136,"La Tagliatella C/ Josep Tarradellas, Barcelona",1253,3.5,Josep Tarradellas 116  Barcelona,Barcelona,41.3899925,2.1440298753287514
137,Velodromo,1055,4.0,Muntaner 213  Barcelona,Barcelona,41.3934421,2.150138581884967
138,Chilango's Taqueria Barcelona,502,4.5,Carrer Nou de la Rambla 95  Barcelona,Barcelona,41.3759077,2.1710366
