,0
631,food
632,good
633,find
634,place
635,better
636,one
637,barcelona
638,hope
639,improve
640,service
641,place
642,nice
643,visited
644,restaurant
645,twice
646,five
647,day
648,vacation
649,barcelona
650,absolutely
651,best
652,tapa
653,restaurant
654,barcelona
655,food
656,fantastic
657,drink
658,wine
659,good
660,overall
661,experience
662,definitely
663,staff
664,friendly
665,service
666,minded
667,possible
668,book
669,table
670,recommend
671,come
672,early
673,prepared
674,wait
675,seated
676,great
677,experience
678,two
679,hour
680,waiting
681,half
682,menu
683,unavailable
684,bottle
685,wine
686,drank
687,outside
688,something
689,waiter
690,waiting
691,waiter
692,started
693,tell
694,u
695,definitely
696,recommended
697,system
698,listing
699,people
700,outside
701,mess
702,reservation
703,everyone
704,packed
705,front
706,restaurant
707,employee
708,tell
709,poor
710,service
711,tapa
712,amazing
713,waiter
714,helpful
715,suggesting
716,top
717,recommendation
718,many
719,order
720,absolutely
721,loved
722,variety
723,dish
724,dizzying
725,amazing
726,server
727,quick
728,expect
729,much
730,english
731,every
732,single
733,dish
734,tasteful
735,fun
736,loved
737,always
738,place
739,especially
740,breakfast
741,barcelona
742,never
743,disappointed
744,tasty
745,food
746,busy
747,service
748,always
749,landmark
750,great
751,time
752,visited
753,come
754,back
755,next
756,day
757,eat
758,good
759,really
760,friendly
761,accommodating
762,long
763,queue
764,worth
765,raquel
766,server
767,best
768,recommended
769,lot
770,popular
771,tapa
772,disappoint
773,good
774,seafood
775,fresh
776,properly
777,cooked
778,grilled
779,fig
780,fresh
781,mushroom
782,egg
783,yolk
784,divine
785,everything
786,served
787,nice
788,hot
789,garlic
790,shrimp
791,galician
792,clam
793,grilled
794,cuttlefish
795,many
796,definitely
797,order
798,staff
799,absolutely
800,friendly
801,unfirendly
802,stuff
803,big
804,table
805,made
806,u
807,leave
808,someone
809,else
810,coming
811,time
812,let
813,u
814,book
815,table
816,earlier
817,loved
818,experience
819,food
820,fantastic
821,great
822,quality
823,freshly
824,cooked
825,quickly
826,served
827,told
828,place
829,friend
830,disappoint
831,book
832,turn
833,leave
834,name
835,tell
836,roughly
837,long
838,table
839,ready
840,nip
841,drink
842,nearby
843,come
844,back
845,table
846,called
847,promptly
848,came
849,back
850,wait
851,always
852,busy
853,make
854,sure
855,name
856,called
857,would
858,imagine
859,hold
860,table
861,long
862,service
863,impeccable
864,quick
865,place
866,buzzing
867,full
868,atmosphere
869,great
870,fun
871,place
872,quiet
873,leisurely
874,meal
875,lot
876,local
877,eating
878,always
879,good
880,class
881,food
882,great
883,service
884,super
885,definitely
886,go
887,back
888,second
889,visit
890,one
891,week
892,restaurant
893,always
894,queue
895,long
896,wait
897,well
898,worth
899,itfriendly
900,service
901,especially
902,antonio
903,always
904,smiling
905,great
906,food
907,lovely
908,ambience
909,g
910,drinker
911,placeserved
912,table
913,bottle
914,goldfish
915,bowl
916,sized
917,glassgo
918,disappointed
919,enjoy
920,used
921,favorite
922,restaurant
923,barcelona
924,couple
925,year
926,since
927,last
928,visit
929,time
930,food
931,disapointing
932,come
933,back
934,maybe
935,got
936,crew
937,quality
938,meal
939,perfect
940,service
941,friendly
942,recommend
943,something
944,eat
945,barcelona
946,couple
947,year
948,back
949,time
950,think
951,city
952,restaurant
953,come
954,mind
955,first
956,food
957,excellent
958,best
959,staff
960,nice
961,price
962,reasonable
963,yes
964,line
965,often
966,long
967,worth
968,wait
969,go
970,back
971,barcelona
972,restaurant
973,first
974,stop
975,busy
976,buzzy
977,see
978,queue
979,think
980,go
981,elsewhere
982,move
983,fairly
984,quickly
985,waited
986,minute
987,table
988,around
989,sunday
990,evening
991,staff
992,friendly
993,restaurant
994,spotlessly
995,clean
996,food
997,excellent
998,two
999,u
1000,shared
1001,red
1002,prawn
1003,razor
1004,clam
1005,beef
1006,whitebait
1007,followed
1008,kind
1009,bread
1010,pudding
1011,churros
1012,plus
1013,jug
1014,sangria
1015,everything
1016,excellent
1017,first
1018,work
1019,trip
1020,barcelona
1021,since
1022,pandemic
1023,began
1024,used
1025,always
1026,go
1027,santa
1028,catarina
1029,razor
1030,clam
1031,changed
1032,menu
1033,found
1034,way
1035,cerveseria
1036,catalana
1037,fantastic
1038,find
1039,hugely
1040,popular
1041,quite
1042,queue
1043,well
1044,worth
1045,wait
1046,razor
1047,clam
1048,fabulous
1049,anchovy
1050,montadito
1051,croquette
1052,burnt
1053,sant
1054,teresa
1055,torrija
1056,house
1057,chardonnay
1058,reasonably
1059,priced
1060,sherwin
1061,waiter
1062,excellent
1063,raved
1064,restaurant
1065,first
1066,visited
1067,seems
1068,service
1069,food
1070,taken
1071,nosedive
1072,ate
1073,around
1074,may
1075,slow
1076,early
1077,everything
1078,seemed
1079,slow
1080,mediocre
1081,ordered
1082,different
1083,type
1084,tapa
1085,liked
1086,location
1087,id
1088,suggest
1089,trying
1090,local
1091,restaurant
1092,lunch
1093,twice
1094,moment
1095,walked
1096,felt
1097,welcomed
1098,maitre
1099,rachez
1100,wasan
1101,incredible
1102,host
1103,made
1104,feel
1105,great
1106,even
1107,wait
1108,food
1109,incredible
1110,multiple
1111,shrimp
1112,type
1113,potatas
1114,bravas
1115,beef
1116,tenderloin
1117,mini
1118,burger
1119,calamari
1120,fist
1121,etc
1122,sangria
1123,die
1124,one
1125,thing
1126,note
1127,girl
