,0
628,find
629,places
630,better
631,one
632,barcelona
633,hope
634,improve
635,service
636,place
637,nice
638,visited
639,restaurant
640,twice
641,five
642,day
643,vacation
644,barcelona
645,absolutely
646,best
647,tapas
648,restaurant
649,barcelona
650,food
651,fantastic
652,drinks
653,wine
654,good
655,overall
656,experience
657,definitely
658,staff
659,friendly
660,service
661,minded
662,possible
663,book
664,table
665,recommend
666,come
667,early
668,prepared
669,wait
670,seated
671,great
672,experience
673,two
674,hours
675,waiting
676,half
677,menu
678,unavailable
679,bottles
680,wine
681,drank
682,outside
683,something
684,waiters
685,waiting
686,waiter
687,started
688,tell
689,us
690,definitely
691,recommended
692,system
693,listing
694,people
695,outside
696,mess
697,reservations
698,everyone
699,packed
700,front
701,restaurant
702,employees
703,tell
704,poor
705,service
706,tapas
707,amazing
708,waiter
709,helpful
710,suggesting
711,top
712,recommendations
713,many
714,order
715,absolutely
716,loved
717,variety
718,dishes
719,dizzying
720,amazing
721,servers
722,quick
723,expect
724,much
725,english
726,every
727,single
728,dish
729,tasteful
730,fun
731,loved
732,always
733,place
734,especially
735,breakfast
736,barcelona
737,never
738,disappointed
739,tasty
740,food
741,busy
742,service
743,always
744,landmarks
745,great
746,time
747,visited
748,come
749,back
750,next
751,day
752,eat
753,good
754,really
755,friendly
756,accommodating
757,long
758,queue
759,worth
760,raquel
761,server
762,best
763,recommended
764,lot
765,popular
766,tapas
767,disappoint
768,good
769,seafood
770,fresh
771,properly
772,cooked
773,grilled
774,figs
775,fresh
776,mushrooms
777,egg
778,yolk
779,divine
780,everything
781,served
782,nice
783,hot
784,garlic
785,shrimp
786,galician
787,clams
788,grilled
789,cuttlefish
790,many
791,definitely
792,order
793,staff
794,absolutely
795,friendly
796,unfirendly
797,stuff
798,big
799,table
800,made
801,us
802,leave
803,someone
804,else
805,coming
806,time
807,let
808,us
809,book
810,table
811,earlier
812,loved
813,experience
814,food
815,fantastic
816,great
817,quality
818,freshly
819,cooked
820,quickly
821,served
822,told
823,place
824,friends
825,disappoint
826,book
827,turn
828,leave
829,name
830,tell
831,roughly
832,long
833,table
834,ready
835,nip
836,drink
837,nearby
838,come
839,back
840,table
841,called
842,promptly
843,came
844,back
845,wait
846,always
847,busy
848,make
849,sure
850,name
851,called
852,would
853,imagine
854,hold
855,tables
856,long
857,service
858,impeccable
859,quick
860,place
861,buzzing
862,full
863,atmosphere
864,great
865,fun
866,place
867,quiet
868,leisurely
869,meal
870,lots
871,locals
872,eating
873,always
874,good
875,class
876,food
877,great
878,service
879,super
880,definitely
881,go
882,back
883,second
884,visit
885,one
886,week
887,restaurant
888,always
889,queue
890,long
891,wait
892,well
893,worth
894,itfriendly
895,service
896,especially
897,antonio
898,always
899,smiling
900,great
901,food
902,lovely
903,ambience
904,g
905,drinker
906,placeserved
907,table
908,bottle
909,goldfish
910,bowl
911,sized
912,glassgo
913,disappointed
914,enjoy
915,used
916,favorite
917,restaurant
918,barcelona
919,couple
920,years
921,since
922,last
923,visit
924,time
925,food
926,disapointing
927,come
928,back
929,maybe
930,got
931,crew
932,quality
933,meal
934,perfect
935,service
936,friendly
937,recommend
938,something
939,eat
940,barcelona
941,couple
942,years
